Algorithm,Iteration,TotalConstraintViolations
GeneticAlg,0,157
GeneticAlg,1,148
GeneticAlg,2,149
GeneticAlg,3,146
GeneticAlg,4,146
GeneticAlg,5,144
GeneticAlg,6,139
GeneticAlg,7,141
GeneticAlg,8,138
GeneticAlg,9,138
GeneticAlg,10,135
GeneticAlg,11,138
GeneticAlg,12,132
GeneticAlg,13,136
GeneticAlg,14,134
GeneticAlg,15,134
GeneticAlg,16,133
GeneticAlg,17,133
GeneticAlg,18,131
GeneticAlg,19,131
GeneticAlg,20,131
GeneticAlg,21,132
GeneticAlg,22,130
GeneticAlg,23,130
GeneticAlg,24,130
GeneticAlg,25,130
GeneticAlg,26,127
GeneticAlg,27,127
GeneticAlg,28,127
GeneticAlg,29,127
GeneticAlg,30,127
GeneticAlg,31,127
GeneticAlg,32,128
GeneticAlg,33,128
GeneticAlg,34,128
GeneticAlg,35,128
GeneticAlg,36,128
GeneticAlg,37,128
GeneticAlg,38,128
GeneticAlg,39,128
GeneticAlg,40,128
GeneticAlg,41,128
GeneticAlg,42,126
GeneticAlg,43,126
GeneticAlg,44,126
GeneticAlg,45,126
GeneticAlg,46,126
GeneticAlg,47,126
GeneticAlg,48,126
GeneticAlg,49,126
GeneticAlg,50,126
GeneticAlg,51,126
GeneticAlg,52,126
GeneticAlg,53,126
GeneticAlg,54,126
GeneticAlg,55,126
GeneticAlg,56,125
GeneticAlg,57,125
GeneticAlg,58,125
GeneticAlg,59,125
GeneticAlg,60,125
GeneticAlg,61,125
GeneticAlg,62,125
GeneticAlg,63,125
GeneticAlg,64,125
GeneticAlg,65,125
GeneticAlg,66,125
GeneticAlg,67,125
GeneticAlg,68,125
GeneticAlg,69,125
GeneticAlg,70,125
GeneticAlg,71,125
GeneticAlg,72,125
GeneticAlg,73,125
GeneticAlg,74,125
GeneticAlg,75,125
GeneticAlg,76,125
GeneticAlg,77,125
GeneticAlg,78,125
GeneticAlg,79,125
GeneticAlg,80,125
GeneticAlg,81,125
GeneticAlg,82,125
GeneticAlg,83,125
GeneticAlg,84,125
GeneticAlg,85,125
GeneticAlg,86,125
GeneticAlg,87,125
GeneticAlg,88,125
GeneticAlg,89,125
GeneticAlg,90,125
GeneticAlg,91,125
GeneticAlg,92,125
GeneticAlg,93,124
GeneticAlg,94,124
GeneticAlg,95,124
GeneticAlg,96,124
GeneticAlg,97,124
GeneticAlg,98,124
GeneticAlg,99,124
