Algorithm,Iteration,costValue
AntColonyAlg,0,11027.20
AntColonyAlg,1,10798.80
AntColonyAlg,2,10680.20
AntColonyAlg,3,10680.20
AntColonyAlg,4,10680.20
AntColonyAlg,5,10680.20
AntColonyAlg,6,10680.20
AntColonyAlg,7,10670.00
AntColonyAlg,8,10431.20
AntColonyAlg,9,10431.20
AntColonyAlg,10,10431.20
AntColonyAlg,11,10431.20
AntColonyAlg,12,10431.20
AntColonyAlg,13,10431.20
AntColonyAlg,14,10431.20
AntColonyAlg,15,10431.20
AntColonyAlg,16,10431.20
AntColonyAlg,17,10414.40
AntColonyAlg,18,10414.40
AntColonyAlg,19,10414.40
AntColonyAlg,20,10414.40
AntColonyAlg,21,10414.40
AntColonyAlg,22,10414.40
AntColonyAlg,23,10414.40
AntColonyAlg,24,10414.40
AntColonyAlg,25,10414.40
AntColonyAlg,26,10414.40
AntColonyAlg,27,10414.40
AntColonyAlg,28,10414.40
AntColonyAlg,29,10414.40
AntColonyAlg,30,10414.40
AntColonyAlg,31,10414.40
AntColonyAlg,32,10414.40
AntColonyAlg,33,10414.40
AntColonyAlg,34,10414.40
AntColonyAlg,35,10414.40
AntColonyAlg,36,10414.40
AntColonyAlg,37,10414.40
AntColonyAlg,38,10414.40
AntColonyAlg,39,10414.40
AntColonyAlg,40,10414.40
AntColonyAlg,41,10414.40
AntColonyAlg,42,10414.40
AntColonyAlg,43,10414.40
AntColonyAlg,44,10414.40
AntColonyAlg,45,10414.40
AntColonyAlg,46,10414.40
AntColonyAlg,47,10414.40
AntColonyAlg,48,10414.40
AntColonyAlg,49,10414.40
AntColonyAlg,50,10414.40
AntColonyAlg,51,10414.40
AntColonyAlg,52,10414.40
AntColonyAlg,53,10414.40
AntColonyAlg,54,10414.40
AntColonyAlg,55,10414.40
AntColonyAlg,56,10414.40
AntColonyAlg,57,10414.40
AntColonyAlg,58,10414.40
AntColonyAlg,59,10414.40
AntColonyAlg,60,10414.40
AntColonyAlg,61,10414.40
AntColonyAlg,62,10414.40
AntColonyAlg,63,10414.40
AntColonyAlg,64,10414.40
AntColonyAlg,65,10414.40
AntColonyAlg,66,10414.40
AntColonyAlg,67,10414.40
AntColonyAlg,68,10414.40
AntColonyAlg,69,10414.40
AntColonyAlg,70,10414.40
AntColonyAlg,71,10414.40
AntColonyAlg,72,10414.40
AntColonyAlg,73,10414.40
AntColonyAlg,74,10414.40
AntColonyAlg,75,10414.40
AntColonyAlg,76,10414.40
AntColonyAlg,77,10414.40
AntColonyAlg,78,10414.40
AntColonyAlg,79,10414.40
AntColonyAlg,80,10414.40
AntColonyAlg,81,10414.40
AntColonyAlg,82,10414.40
AntColonyAlg,83,10414.40
AntColonyAlg,84,10414.40
AntColonyAlg,85,10414.40
AntColonyAlg,86,10414.40
AntColonyAlg,87,10414.40
AntColonyAlg,88,10414.40
AntColonyAlg,89,10414.40
AntColonyAlg,90,10414.40
AntColonyAlg,91,10414.40
AntColonyAlg,92,10414.40
AntColonyAlg,93,10414.40
AntColonyAlg,94,10414.40
AntColonyAlg,95,10414.40
AntColonyAlg,96,10414.40
AntColonyAlg,97,10414.40
AntColonyAlg,98,10414.40
AntColonyAlg,99,10414.40
AntColonyAlg,0,10964.20
AntColonyAlg,1,10725.40
AntColonyAlg,2,10605.60
AntColonyAlg,3,10605.60
AntColonyAlg,4,10605.60
AntColonyAlg,5,10605.60
