Algorithm,Iteration,TotalConstraintViolations
ParticleSwarmAlg,0,1006
ParticleSwarmAlg,1,1006
ParticleSwarmAlg,2,1006
ParticleSwarmAlg,3,1006
ParticleSwarmAlg,4,1006
ParticleSwarmAlg,5,1006
ParticleSwarmAlg,6,1006
ParticleSwarmAlg,7,1006
ParticleSwarmAlg,8,1006
ParticleSwarmAlg,9,1006
ParticleSwarmAlg,10,1006
ParticleSwarmAlg,11,1006
ParticleSwarmAlg,12,1006
ParticleSwarmAlg,13,1006
ParticleSwarmAlg,14,1006
ParticleSwarmAlg,15,1006
ParticleSwarmAlg,16,1006
ParticleSwarmAlg,17,1006
ParticleSwarmAlg,18,1006
ParticleSwarmAlg,19,1006
ParticleSwarmAlg,20,1006
ParticleSwarmAlg,21,1006
ParticleSwarmAlg,22,1006
ParticleSwarmAlg,23,1006
ParticleSwarmAlg,24,1006
ParticleSwarmAlg,25,1006
ParticleSwarmAlg,26,1006
ParticleSwarmAlg,27,1006
ParticleSwarmAlg,28,1006
ParticleSwarmAlg,29,1006
ParticleSwarmAlg,30,1006
ParticleSwarmAlg,31,1006
ParticleSwarmAlg,32,1006
ParticleSwarmAlg,33,1006
ParticleSwarmAlg,34,1006
ParticleSwarmAlg,35,1006
ParticleSwarmAlg,36,1006
ParticleSwarmAlg,37,1006
ParticleSwarmAlg,38,1006
ParticleSwarmAlg,39,1006
ParticleSwarmAlg,40,1006
ParticleSwarmAlg,41,1006
ParticleSwarmAlg,42,1006
ParticleSwarmAlg,43,1006
ParticleSwarmAlg,44,1006
ParticleSwarmAlg,45,1006
ParticleSwarmAlg,46,1006
ParticleSwarmAlg,47,1006
ParticleSwarmAlg,48,1006
ParticleSwarmAlg,49,1006
ParticleSwarmAlg,50,1006
ParticleSwarmAlg,51,1006
ParticleSwarmAlg,52,1006
ParticleSwarmAlg,53,1006
ParticleSwarmAlg,54,1006
ParticleSwarmAlg,55,1006
ParticleSwarmAlg,56,1006
ParticleSwarmAlg,57,1006
ParticleSwarmAlg,58,1006
ParticleSwarmAlg,59,1006
ParticleSwarmAlg,60,1006
ParticleSwarmAlg,61,1006
ParticleSwarmAlg,62,1006
ParticleSwarmAlg,63,1006
ParticleSwarmAlg,64,1006
ParticleSwarmAlg,65,1006
ParticleSwarmAlg,66,1006
ParticleSwarmAlg,67,1006
ParticleSwarmAlg,68,1006
ParticleSwarmAlg,69,1006
ParticleSwarmAlg,70,1006
ParticleSwarmAlg,71,1006
ParticleSwarmAlg,72,1006
ParticleSwarmAlg,73,1006
ParticleSwarmAlg,74,1006
ParticleSwarmAlg,75,1006
ParticleSwarmAlg,76,1006
ParticleSwarmAlg,77,1006
ParticleSwarmAlg,78,1006
ParticleSwarmAlg,79,1006
ParticleSwarmAlg,80,1006
ParticleSwarmAlg,81,1006
ParticleSwarmAlg,82,1006
ParticleSwarmAlg,83,1006
ParticleSwarmAlg,84,1006
ParticleSwarmAlg,85,1006
ParticleSwarmAlg,86,1006
ParticleSwarmAlg,87,1006
ParticleSwarmAlg,88,1006
ParticleSwarmAlg,89,1006
ParticleSwarmAlg,90,1006
ParticleSwarmAlg,91,1006
ParticleSwarmAlg,92,1006
ParticleSwarmAlg,93,1006
ParticleSwarmAlg,94,1006
ParticleSwarmAlg,95,1006
ParticleSwarmAlg,96,1006
ParticleSwarmAlg,97,1006
ParticleSwarmAlg,98,1006
ParticleSwarmAlg,99,1006
