Algorithm,Iteration,TotalConstraintViolations
AntColonyAlg,0,686
AntColonyAlg,1,686
AntColonyAlg,2,680
AntColonyAlg,3,680
AntColonyAlg,4,680
AntColonyAlg,5,680
AntColonyAlg,6,680
AntColonyAlg,7,680
AntColonyAlg,8,680
AntColonyAlg,9,680
AntColonyAlg,10,680
AntColonyAlg,11,680
AntColonyAlg,12,680
AntColonyAlg,13,680
AntColonyAlg,14,680
AntColonyAlg,15,680
AntColonyAlg,16,680
AntColonyAlg,17,680
AntColonyAlg,18,680
AntColonyAlg,19,680
AntColonyAlg,20,680
AntColonyAlg,21,680
AntColonyAlg,22,680
AntColonyAlg,23,680
AntColonyAlg,24,680
AntColonyAlg,25,680
AntColonyAlg,26,680
AntColonyAlg,27,680
AntColonyAlg,28,680
AntColonyAlg,29,680
AntColonyAlg,30,680
AntColonyAlg,31,680
AntColonyAlg,32,680
AntColonyAlg,33,680
AntColonyAlg,34,680
AntColonyAlg,35,680
AntColonyAlg,36,680
AntColonyAlg,37,680
AntColonyAlg,38,680
AntColonyAlg,39,680
AntColonyAlg,40,680
AntColonyAlg,41,680
AntColonyAlg,42,680
AntColonyAlg,43,680
AntColonyAlg,44,680
AntColonyAlg,45,680
AntColonyAlg,46,680
AntColonyAlg,47,680
AntColonyAlg,48,680
AntColonyAlg,49,680
AntColonyAlg,50,680
AntColonyAlg,51,680
AntColonyAlg,52,680
AntColonyAlg,53,680
AntColonyAlg,54,680
AntColonyAlg,55,680
AntColonyAlg,56,680
AntColonyAlg,57,680
AntColonyAlg,58,680
AntColonyAlg,59,680
AntColonyAlg,60,680
AntColonyAlg,61,680
AntColonyAlg,62,680
AntColonyAlg,63,680
AntColonyAlg,64,680
AntColonyAlg,65,680
AntColonyAlg,66,680
AntColonyAlg,67,680
AntColonyAlg,68,680
AntColonyAlg,69,680
AntColonyAlg,70,680
AntColonyAlg,71,680
AntColonyAlg,72,680
AntColonyAlg,73,680
AntColonyAlg,74,680
AntColonyAlg,75,680
AntColonyAlg,76,680
AntColonyAlg,77,680
AntColonyAlg,78,680
AntColonyAlg,79,680
AntColonyAlg,80,680
AntColonyAlg,81,680
AntColonyAlg,82,680
AntColonyAlg,83,680
AntColonyAlg,84,680
AntColonyAlg,85,680
AntColonyAlg,86,680
AntColonyAlg,87,680
AntColonyAlg,88,680
AntColonyAlg,89,680
AntColonyAlg,90,680
AntColonyAlg,91,680
AntColonyAlg,92,680
AntColonyAlg,93,680
AntColonyAlg,94,680
AntColonyAlg,95,680
AntColonyAlg,96,680
AntColonyAlg,97,680
AntColonyAlg,98,680
AntColonyAlg,99,680
