Algorithm,Iteration,costValue
GeneticAlg,0,273.60
GeneticAlg,1,269.20
GeneticAlg,2,264.60
GeneticAlg,3,264.60
GeneticAlg,4,263.20
GeneticAlg,5,259.20
GeneticAlg,6,258.60
GeneticAlg,7,258.00
GeneticAlg,8,257.40
GeneticAlg,9,257.40
GeneticAlg,10,257.20
GeneticAlg,11,253.20
GeneticAlg,12,253.20
GeneticAlg,13,251.60
GeneticAlg,14,250.60
GeneticAlg,15,250.20
GeneticAlg,16,248.20
GeneticAlg,17,243.40
GeneticAlg,18,242.00
GeneticAlg,19,242.00
GeneticAlg,20,241.20
GeneticAlg,21,240.60
GeneticAlg,22,238.40
GeneticAlg,23,238.40
GeneticAlg,24,238.40
GeneticAlg,25,238.40
GeneticAlg,26,234.00
GeneticAlg,27,234.00
GeneticAlg,28,234.00
GeneticAlg,29,232.00
GeneticAlg,30,232.00
GeneticAlg,31,232.00
GeneticAlg,32,232.00
GeneticAlg,33,232.00
GeneticAlg,34,232.00
GeneticAlg,35,232.00
GeneticAlg,36,231.60
GeneticAlg,37,231.60
GeneticAlg,38,231.60
GeneticAlg,39,231.60
GeneticAlg,40,231.60
GeneticAlg,41,231.60
GeneticAlg,42,231.60
GeneticAlg,43,231.60
GeneticAlg,44,231.40
GeneticAlg,45,229.20
GeneticAlg,46,229.20
GeneticAlg,47,229.20
GeneticAlg,48,229.20
GeneticAlg,49,229.20
GeneticAlg,50,229.20
GeneticAlg,51,229.20
GeneticAlg,52,229.20
GeneticAlg,53,229.20
GeneticAlg,54,229.20
GeneticAlg,55,229.20
GeneticAlg,56,229.20
GeneticAlg,57,229.20
GeneticAlg,58,229.20
GeneticAlg,59,229.20
GeneticAlg,60,229.20
GeneticAlg,61,229.20
GeneticAlg,62,229.20
GeneticAlg,63,229.20
GeneticAlg,64,229.20
GeneticAlg,65,229.20
GeneticAlg,66,228.80
GeneticAlg,67,228.80
GeneticAlg,68,228.80
GeneticAlg,69,226.80
GeneticAlg,70,226.80
GeneticAlg,71,226.80
GeneticAlg,72,226.80
GeneticAlg,73,226.80
GeneticAlg,74,225.00
