Algorithm,Iteration,costValue
ParticleSwarmAlg,0,277.80
ParticleSwarmAlg,1,277.80
ParticleSwarmAlg,2,277.80
ParticleSwarmAlg,3,277.80
ParticleSwarmAlg,4,277.80
ParticleSwarmAlg,5,277.80
ParticleSwarmAlg,6,277.80
ParticleSwarmAlg,7,277.80
ParticleSwarmAlg,8,277.80
ParticleSwarmAlg,9,277.80
ParticleSwarmAlg,10,277.80
ParticleSwarmAlg,11,277.80
ParticleSwarmAlg,12,277.80
ParticleSwarmAlg,13,277.80
ParticleSwarmAlg,14,277.80
ParticleSwarmAlg,15,277.80
ParticleSwarmAlg,16,277.80
ParticleSwarmAlg,17,277.80
ParticleSwarmAlg,18,277.80
ParticleSwarmAlg,19,277.80
ParticleSwarmAlg,20,277.80
ParticleSwarmAlg,21,277.80
ParticleSwarmAlg,22,277.80
ParticleSwarmAlg,23,277.80
ParticleSwarmAlg,24,277.80
ParticleSwarmAlg,25,277.80
ParticleSwarmAlg,26,273.60
ParticleSwarmAlg,27,273.60
ParticleSwarmAlg,28,273.60
ParticleSwarmAlg,29,273.60
ParticleSwarmAlg,30,273.60
ParticleSwarmAlg,31,273.60
ParticleSwarmAlg,32,273.60
ParticleSwarmAlg,33,273.60
ParticleSwarmAlg,34,273.60
ParticleSwarmAlg,35,273.60
ParticleSwarmAlg,36,273.60
ParticleSwarmAlg,37,269.80
ParticleSwarmAlg,38,269.80
ParticleSwarmAlg,39,269.80
ParticleSwarmAlg,40,269.80
ParticleSwarmAlg,41,269.80
ParticleSwarmAlg,42,269.80
ParticleSwarmAlg,43,269.80
ParticleSwarmAlg,44,269.80
ParticleSwarmAlg,45,269.80
ParticleSwarmAlg,46,269.80
ParticleSwarmAlg,47,269.80
ParticleSwarmAlg,48,269.80
ParticleSwarmAlg,49,269.80
ParticleSwarmAlg,50,269.80
ParticleSwarmAlg,51,269.80
ParticleSwarmAlg,52,269.80
ParticleSwarmAlg,53,269.80
ParticleSwarmAlg,54,269.80
ParticleSwarmAlg,55,269.80
ParticleSwarmAlg,56,269.80
ParticleSwarmAlg,57,269.80
ParticleSwarmAlg,58,269.80
ParticleSwarmAlg,59,269.80
ParticleSwarmAlg,60,269.80
ParticleSwarmAlg,61,269.80
ParticleSwarmAlg,62,269.80
ParticleSwarmAlg,63,269.80
ParticleSwarmAlg,64,269.80
ParticleSwarmAlg,65,269.80
ParticleSwarmAlg,66,269.80
ParticleSwarmAlg,67,269.80
ParticleSwarmAlg,68,269.80
ParticleSwarmAlg,69,269.80
ParticleSwarmAlg,70,269.80
ParticleSwarmAlg,71,269.80
ParticleSwarmAlg,72,269.80
ParticleSwarmAlg,73,269.80
ParticleSwarmAlg,74,262.20
ParticleSwarmAlg,75,262.20
ParticleSwarmAlg,76,262.20
ParticleSwarmAlg,77,262.20
ParticleSwarmAlg,78,262.20
ParticleSwarmAlg,79,262.20
ParticleSwarmAlg,80,262.20
ParticleSwarmAlg,81,262.20
ParticleSwarmAlg,82,262.20
ParticleSwarmAlg,83,262.20
ParticleSwarmAlg,84,262.20
ParticleSwarmAlg,85,262.20
ParticleSwarmAlg,86,262.20
ParticleSwarmAlg,87,262.20
ParticleSwarmAlg,88,262.20
ParticleSwarmAlg,89,262.20
ParticleSwarmAlg,90,262.20
ParticleSwarmAlg,91,262.20
ParticleSwarmAlg,92,262.20
ParticleSwarmAlg,93,262.20
ParticleSwarmAlg,94,262.20
ParticleSwarmAlg,95,262.20
ParticleSwarmAlg,96,262.20
ParticleSwarmAlg,97,262.20
ParticleSwarmAlg,98,262.20
ParticleSwarmAlg,99,262.20
ParticleSwarmAlg,0,269.00
ParticleSwarmAlg,1,269.00
ParticleSwarmAlg,2,269.00
ParticleSwarmAlg,3,269.00
ParticleSwarmAlg,4,269.00
ParticleSwarmAlg,5,269.00
ParticleSwarmAlg,6,269.00
ParticleSwarmAlg,7,269.00
ParticleSwarmAlg,8,269.00
ParticleSwarmAlg,9,269.00
ParticleSwarmAlg,10,269.00
ParticleSwarmAlg,11,269.00
ParticleSwarmAlg,12,269.00
ParticleSwarmAlg,13,269.00
ParticleSwarmAlg,14,269.00
ParticleSwarmAlg,15,269.00
ParticleSwarmAlg,16,269.00
