Algorithm,Iteration,TotalConstraintViolations
GeneticAlg,0,67
GeneticAlg,1,65
GeneticAlg,2,60
GeneticAlg,3,58
GeneticAlg,4,58
GeneticAlg,5,56
GeneticAlg,6,55
GeneticAlg,7,53
GeneticAlg,8,52
GeneticAlg,9,50
GeneticAlg,10,50
GeneticAlg,11,50
GeneticAlg,12,49
GeneticAlg,13,49
GeneticAlg,14,49
GeneticAlg,15,49
GeneticAlg,16,49
GeneticAlg,17,49
GeneticAlg,18,49
GeneticAlg,19,49
GeneticAlg,20,49
GeneticAlg,21,49
GeneticAlg,22,49
GeneticAlg,23,49
GeneticAlg,24,49
GeneticAlg,25,49
GeneticAlg,26,49
GeneticAlg,27,49
GeneticAlg,28,49
GeneticAlg,29,49
GeneticAlg,30,49
GeneticAlg,31,49
GeneticAlg,32,49
GeneticAlg,33,49
GeneticAlg,34,49
GeneticAlg,35,49
GeneticAlg,36,49
GeneticAlg,37,49
GeneticAlg,38,49
GeneticAlg,39,49
GeneticAlg,40,49
GeneticAlg,41,49
GeneticAlg,42,49
GeneticAlg,43,49
GeneticAlg,44,49
GeneticAlg,45,49
GeneticAlg,46,49
GeneticAlg,47,49
GeneticAlg,48,49
GeneticAlg,49,49
GeneticAlg,50,49
GeneticAlg,51,49
GeneticAlg,52,49
GeneticAlg,53,49
GeneticAlg,54,49
GeneticAlg,55,49
GeneticAlg,56,49
GeneticAlg,57,49
GeneticAlg,58,49
GeneticAlg,59,49
GeneticAlg,60,49
GeneticAlg,61,49
GeneticAlg,62,49
GeneticAlg,63,49
GeneticAlg,64,49
GeneticAlg,65,49
GeneticAlg,66,49
GeneticAlg,67,49
GeneticAlg,68,49
GeneticAlg,69,49
GeneticAlg,70,49
GeneticAlg,71,49
GeneticAlg,72,49
GeneticAlg,73,49
GeneticAlg,74,49
GeneticAlg,75,49
GeneticAlg,76,49
GeneticAlg,77,49
GeneticAlg,78,49
GeneticAlg,79,49
GeneticAlg,80,49
GeneticAlg,81,49
GeneticAlg,82,49
GeneticAlg,83,49
GeneticAlg,84,49
GeneticAlg,85,49
GeneticAlg,86,49
GeneticAlg,87,49
GeneticAlg,88,49
GeneticAlg,89,49
GeneticAlg,90,49
GeneticAlg,91,49
GeneticAlg,92,49
GeneticAlg,93,49
GeneticAlg,94,49
GeneticAlg,95,49
GeneticAlg,96,49
GeneticAlg,97,49
GeneticAlg,98,49
GeneticAlg,99,49
