Algorithm,Iteration,costValue
GeneticAlg,0,15.60
GeneticAlg,1,15.40
GeneticAlg,2,14.80
GeneticAlg,3,14.20
GeneticAlg,4,14.00
GeneticAlg,5,13.40
GeneticAlg,6,13.00
GeneticAlg,7,13.00
GeneticAlg,8,12.80
GeneticAlg,9,12.80
GeneticAlg,10,12.80
GeneticAlg,11,12.80
GeneticAlg,12,12.80
GeneticAlg,13,12.80
GeneticAlg,14,12.80
GeneticAlg,15,12.80
GeneticAlg,16,12.80
GeneticAlg,17,12.80
GeneticAlg,18,12.80
GeneticAlg,19,12.80
GeneticAlg,20,12.80
GeneticAlg,21,12.80
GeneticAlg,22,12.80
GeneticAlg,23,12.80
GeneticAlg,24,12.80
GeneticAlg,25,12.80
GeneticAlg,26,12.80
GeneticAlg,27,12.80
GeneticAlg,28,12.80
GeneticAlg,29,12.80
GeneticAlg,30,12.80
GeneticAlg,31,12.80
GeneticAlg,32,12.80
GeneticAlg,33,12.80
GeneticAlg,34,12.80
GeneticAlg,35,12.80
GeneticAlg,36,12.80
GeneticAlg,37,12.80
GeneticAlg,38,12.80
GeneticAlg,39,12.80
GeneticAlg,40,12.80
GeneticAlg,41,12.80
GeneticAlg,42,12.80
GeneticAlg,43,12.80
GeneticAlg,44,12.80
GeneticAlg,45,12.80
GeneticAlg,46,12.80
GeneticAlg,47,12.80
GeneticAlg,48,12.80
GeneticAlg,49,12.80
GeneticAlg,50,12.80
GeneticAlg,51,12.80
GeneticAlg,52,12.80
GeneticAlg,53,12.80
GeneticAlg,54,12.80
GeneticAlg,55,12.80
GeneticAlg,56,12.80
GeneticAlg,57,12.80
GeneticAlg,58,12.80
GeneticAlg,59,12.80
GeneticAlg,60,12.80
GeneticAlg,61,12.80
GeneticAlg,62,12.80
GeneticAlg,63,12.80
GeneticAlg,64,12.80
GeneticAlg,65,12.80
GeneticAlg,66,12.80
GeneticAlg,67,12.80
GeneticAlg,68,12.80
GeneticAlg,69,12.80
GeneticAlg,70,12.80
GeneticAlg,71,12.80
GeneticAlg,72,12.80
GeneticAlg,73,12.80
GeneticAlg,74,12.80
GeneticAlg,75,12.80
GeneticAlg,76,12.80
GeneticAlg,77,12.80
GeneticAlg,78,12.80
GeneticAlg,79,12.80
GeneticAlg,80,12.80
GeneticAlg,81,12.80
GeneticAlg,82,12.80
GeneticAlg,83,12.80
GeneticAlg,84,12.80
GeneticAlg,85,12.80
GeneticAlg,86,12.80
GeneticAlg,87,12.80
GeneticAlg,88,12.80
