Algorithm,Iteration,TotalConstraintViolations
AntColonyAlg,0,51
AntColonyAlg,1,51
AntColonyAlg,2,51
AntColonyAlg,3,51
AntColonyAlg,4,51
AntColonyAlg,5,51
AntColonyAlg,6,52
AntColonyAlg,7,52
AntColonyAlg,8,52
AntColonyAlg,9,52
AntColonyAlg,10,52
AntColonyAlg,11,52
AntColonyAlg,12,52
AntColonyAlg,13,52
AntColonyAlg,14,52
AntColonyAlg,15,52
AntColonyAlg,16,52
AntColonyAlg,17,52
AntColonyAlg,18,52
AntColonyAlg,19,52
AntColonyAlg,20,52
AntColonyAlg,21,52
AntColonyAlg,22,52
AntColonyAlg,23,52
AntColonyAlg,24,52
AntColonyAlg,25,49
AntColonyAlg,26,49
AntColonyAlg,27,49
AntColonyAlg,28,49
AntColonyAlg,29,49
AntColonyAlg,30,49
AntColonyAlg,31,49
AntColonyAlg,32,49
AntColonyAlg,33,49
AntColonyAlg,34,49
AntColonyAlg,35,49
AntColonyAlg,36,49
AntColonyAlg,37,49
AntColonyAlg,38,49
AntColonyAlg,39,49
AntColonyAlg,40,49
AntColonyAlg,41,49
AntColonyAlg,42,49
AntColonyAlg,43,49
AntColonyAlg,44,49
AntColonyAlg,45,49
AntColonyAlg,46,49
AntColonyAlg,47,49
AntColonyAlg,48,49
AntColonyAlg,49,49
AntColonyAlg,50,49
AntColonyAlg,51,49
AntColonyAlg,52,49
AntColonyAlg,53,49
AntColonyAlg,54,49
AntColonyAlg,55,49
AntColonyAlg,56,49
AntColonyAlg,57,49
AntColonyAlg,58,49
AntColonyAlg,59,49
AntColonyAlg,60,49
AntColonyAlg,61,49
AntColonyAlg,62,49
AntColonyAlg,63,49
AntColonyAlg,64,49
AntColonyAlg,65,49
AntColonyAlg,66,49
AntColonyAlg,67,49
AntColonyAlg,68,49
AntColonyAlg,69,49
AntColonyAlg,70,49
AntColonyAlg,71,49
AntColonyAlg,72,49
AntColonyAlg,73,49
AntColonyAlg,74,49
AntColonyAlg,75,49
AntColonyAlg,76,49
AntColonyAlg,77,49
AntColonyAlg,78,49
AntColonyAlg,79,49
AntColonyAlg,80,49
AntColonyAlg,81,49
AntColonyAlg,82,49
AntColonyAlg,83,49
AntColonyAlg,84,49
AntColonyAlg,85,49
AntColonyAlg,86,49
AntColonyAlg,87,49
AntColonyAlg,88,49
AntColonyAlg,89,49
AntColonyAlg,90,49
AntColonyAlg,91,49
AntColonyAlg,92,49
AntColonyAlg,93,49
AntColonyAlg,94,49
AntColonyAlg,95,49
AntColonyAlg,96,49
AntColonyAlg,97,49
AntColonyAlg,98,49
AntColonyAlg,99,49
