ID,AvailableHours,SkillLevel,Skills
0,17,1,"A"
1,19,9,"A B C"
2,9,5,"A B C"
3,16,9,"A"
4,11,6,"B"
5,8,6,"B C"
6,16,5,"B C"
7,15,2,"A B C"
8,11,1,"A B C"
9,14,3,"A B"
10,19,2,"A B"
11,19,4,"B"
12,12,9,"A"
13,13,6,"A"
14,15,5,"A B C"
15,17,3,"A B C"
16,19,8,"C"
17,10,8,"B C"
18,11,3,"C"
19,9,2,"B C"
20,7,4,"A B C"
21,17,1,"C"
22,14,2,"A B C"
23,13,3,"A B C"
24,7,5,"A C"
25,16,6,"A"
26,13,2,"B C"
27,12,7,"A B C"
28,9,1,"C"
29,10,9,"A B"
30,10,8,"A B"
31,7,7,"A B C"
32,8,8,"C"
33,10,1,"A B C"
34,17,1,"A B C"
35,10,2,"B"
36,15,1,"C"
37,14,5,"A C"
38,10,8,"B C"
39,9,5,"A C"
40,13,4,"A C"
41,19,2,"A"
42,11,1,"A B C"
43,13,9,"C"
44,11,3,"A B C"
45,13,4,"A B C"
46,11,5,"A C"
47,19,4,"A B C"
48,14,7,"B"
49,9,3,"A B"
50,10,2,"A"
51,16,5,"A B C"
52,9,4,"A B C"
53,10,1,"A B"
54,13,5,"C"
55,19,7,"B C"
56,11,9,"A C"
57,11,5,"B"
58,17,4,"A B C"
59,16,5,"A C"
60,19,7,"B"
61,8,6,"A C"
62,17,9,"A"
63,10,6,"A B C"
64,17,6,"A B C"
65,18,6,"A B C"
66,8,5,"A C"
67,17,7,"A B C"
68,17,1,"A C"
69,13,9,"A B C"
70,12,6,"C"
71,18,4,"B C"
72,15,4,"A B"
73,8,3,"A B C"
74,10,4,"B C"
75,18,8,"A"
76,15,9,"A B C"
77,14,3,"B C"
78,14,6,"B"
79,11,3,"C"
80,14,1,"A"
81,8,8,"A B C"
82,15,4,"B C"
83,15,7,"A B C"
84,12,3,"B"
85,16,2,"A B C"
86,18,8,"A B C"
87,17,4,"B C"
88,8,9,"A"
89,8,8,"A"
90,19,7,"A B C"
91,13,2,"B"
92,8,8,"B C"
93,8,4,"A B C"
94,15,7,"A B C"
95,17,7,"B C"
96,12,7,"A"
97,19,1,"B"
98,14,3,"A B C"
99,9,4,"A B C"
100,7,3,"A B C"
101,8,4,"B"
102,18,9,"C"
103,10,2,"B"
104,8,3,"A B C"
105,19,1,"A C"
106,10,2,"A"
107,12,5,"A B C"
108,9,7,"C"
109,9,5,"A B"
110,8,1,"B"
111,13,2,"A C"
112,17,3,"A"
113,7,7,"B C"
114,9,3,"A C"
115,12,1,"C"
116,11,6,"C"
117,19,1,"C"
118,10,9,"A B"
119,11,4,"B"
120,10,3,"C"
121,8,8,"A B C"
122,9,1,"A"
123,15,4,"B"
124,8,8,"B"
125,12,5,"B"
126,13,1,"A"
127,7,5,"A B C"
128,16,6,"A B C"
129,18,9,"A B C"
130,8,7,"A B C"
131,13,5,"A B C"
132,9,4,"B C"
133,17,6,"B C"
134,16,3,"A B C"
135,8,9,"A"
136,9,4,"A B C"
137,7,6,"A B C"
138,11,7,"A"
139,13,5,"C"
140,14,6,"B C"
141,7,4,"A B"
142,17,7,"A B C"
143,18,7,"A C"
144,14,6,"B C"
145,9,3,"A B C"
146,8,7,"A B C"
147,14,6,"A B C"
148,11,4,"A B C"
149,11,7,"A B C"
150,14,3,"B C"
151,7,7,"A B C"
152,15,1,"A C"
153,15,3,"A B C"
154,9,8,"A B"
155,19,7,"A C"
156,9,4,"A B C"
157,19,1,"A C"
158,9,6,"A B"
159,18,3,"A B C"
160,18,2,"A B C"
161,18,8,"A B C"
162,7,1,"B"
163,11,5,"A C"
164,16,8,"B"
165,9,3,"A B C"
166,11,1,"B C"
167,17,7,"A B"
168,10,1,"A B"
169,14,4,"C"
170,18,1,"A B"
171,15,5,"A C"
172,17,4,"B C"
173,17,8,"A B C"
174,18,8,"B C"
175,17,7,"A B"
176,19,1,"B"
177,12,1,"A"
178,9,9,"A B C"
179,11,4,"A B"
180,18,3,"A B"
181,9,4,"B C"
182,11,6,"B"
183,19,6,"C"
184,15,4,"A"
185,8,1,"A B C"
186,18,4,"A B"
187,16,4,"C"
188,12,9,"A B"
189,8,2,"A B C"
190,12,6,"A B C"
191,11,4,"C"
192,10,8,"A B C"
193,18,7,"C"
194,18,5,"C"
195,15,3,"A C"
196,10,5,"A B C"
197,14,9,"A B C"
198,8,8,"C"
199,13,3,"A B C"
