ID,EstimatedTime,Difficulty,Deadline,RequiredSkill
0,1,8,8,C
1,2,5,28,C
2,5,5,3,B
3,6,3,20,B
4,4,1,8,A
5,2,4,19,C
6,8,3,24,B
7,2,4,12,B
8,2,9,19,A
9,2,1,11,C
10,9,7,11,C
11,4,3,18,C
12,6,4,6,A
13,2,7,1,C
14,7,1,22,B
15,2,5,4,A
16,4,2,7,C
17,8,4,6,A
18,7,6,19,B
19,5,1,24,C
20,1,2,26,B
21,6,2,19,C
22,6,5,5,A
23,9,6,16,B
24,2,2,25,C
25,9,6,24,A
26,1,9,17,C
27,5,9,17,A
28,6,1,28,B
29,1,7,1,B
30,8,9,10,A
31,2,4,1,B
32,5,8,1,C
33,5,3,22,B
34,3,9,7,B
35,9,9,10,C
36,4,5,24,C
37,1,4,22,C
38,9,1,1,B
39,4,3,15,A
40,9,5,14,C
41,9,1,24,A
42,8,7,15,C
43,6,9,14,B
44,2,3,27,B
45,3,5,5,A
46,1,5,23,A
47,2,5,15,B
48,3,7,16,C
49,6,2,11,B
