ID,EstimatedTime,Difficulty,Deadline,RequiredSkill
0,2,1,12,A
1,7,1,21,A
2,9,8,8,A
3,4,5,29,A
4,2,6,3,C
5,1,7,23,C
6,1,1,18,A
7,7,9,2,C
8,3,7,15,A
9,2,4,28,C
10,3,3,24,A
11,8,2,1,C
12,2,9,24,B
13,7,8,11,C
14,6,4,18,A
15,9,3,7,C
16,7,2,29,A
17,7,4,3,B
18,2,3,19,A
19,8,3,5,C
20,2,7,29,A
21,7,8,2,B
22,5,8,18,B
23,5,8,1,C
24,7,4,13,B
25,6,1,27,C
26,9,1,19,B
27,7,1,29,C
28,7,9,20,A
29,1,4,16,A
30,4,1,27,B
31,1,4,10,C
32,9,6,17,B
33,5,5,19,C
34,2,6,9,A
35,2,1,26,C
36,2,6,1,B
37,6,8,28,C
38,4,8,10,A
39,8,4,6,C
40,6,3,25,A
41,3,8,22,A
42,8,5,28,B
43,5,3,6,B
44,6,3,15,A
45,5,6,8,A
46,5,3,26,A
47,6,2,8,B
48,1,4,9,C
49,9,3,9,B
50,2,3,23,C
51,7,3,2,B
52,7,8,3,B
53,4,6,13,A
54,6,8,27,A
55,5,8,22,A
56,6,6,5,B
57,8,9,6,B
58,8,8,16,B
59,7,8,16,A
60,9,5,11,B
61,5,3,24,C
62,8,5,2,B
63,2,3,5,C
64,7,3,14,B
65,7,6,17,C
66,3,4,20,B
67,2,5,13,C
68,7,9,5,C
69,7,3,4,C
70,4,5,2,C
71,9,5,14,A
72,7,1,20,B
73,5,5,22,C
74,8,7,22,C
75,9,2,28,A
76,9,3,10,C
77,5,8,6,A
78,8,7,19,B
79,1,6,10,B
80,5,3,5,C
81,2,2,17,A
82,9,2,27,B
83,1,4,24,C
84,6,5,25,A
85,8,3,26,A
86,2,2,1,B
87,2,2,25,B
88,4,8,28,B
89,5,1,23,A
90,4,1,11,C
91,5,2,14,B
92,8,5,6,A
93,7,6,10,A
94,8,6,22,C
95,9,4,5,C
96,6,5,13,B
97,6,1,22,B
98,3,2,20,B
99,8,5,27,A
100,2,9,8,A
101,1,8,18,C
102,9,2,5,C
103,7,2,3,B
104,1,9,13,B
105,9,2,22,C
106,5,6,8,C
107,9,6,18,A
108,9,3,3,A
109,5,2,19,A
110,2,4,20,A
111,5,9,4,A
112,7,7,1,C
113,6,6,2,B
114,3,4,22,C
115,8,1,12,B
116,6,2,3,A
117,8,3,2,A
118,2,4,13,C
119,2,3,27,A
120,1,4,13,B
121,3,5,29,C
122,5,1,26,B
123,5,5,9,B
124,1,7,4,B
125,2,7,12,A
126,2,2,7,A
127,3,7,8,B
128,1,5,13,C
129,9,1,11,C
130,9,2,14,A
131,8,5,24,C
132,2,2,22,A
133,1,5,9,C
134,9,5,14,B
135,3,9,16,B
136,2,2,28,C
137,2,9,14,B
138,3,1,18,A
139,9,4,9,C
140,5,5,29,B
141,9,4,27,A
142,5,8,5,A
143,6,7,26,A
